Identifier,Chemical Formula,Si/Al ratio,Note
SWY000,O144Si72,1.0,Primitive P1 all-silica zeolite from IZA.
ANA000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
AFT000,O144Si72,1.0,Primitive P1 all-silica zeolite from IZA.
UTL000,O76Si38,1.0,Primitive P1 all-silica zeolite from IZA.
ERI000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
SBS000,O192Si96,1.0,Primitive P1 all-silica zeolite from IZA.
UOS000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
MTW000,O28Si14,1.0,Primitive P1 all-silica zeolite from IZA.
MEP000,O92Si46,1.0,Primitive P1 all-silica zeolite from IZA.
IFR000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
OFF000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
ATN000,O16Si8,1.0,Primitive P1 all-silica zeolite from IZA.
ITH000,O56Si28,1.0,Primitive P1 all-silica zeolite from IZA.
RTH000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
SFG000,O148Si74,1.0,Primitive P1 all-silica zeolite from IZA.
PCR000,O60Si30,1.0,Primitive P1 all-silica zeolite from IZA.
IHW000,O112Si56,1.0,Primitive P1 all-silica zeolite from IZA.
ITG000,O112Si56,1.0,Primitive P1 all-silica zeolite from IZA.
ACO000,O16Si8,1.0,Primitive P1 all-silica zeolite from IZA.
MOR000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
IRN000,O92Si46,1.0,Primitive P1 all-silica zeolite from IZA.
IFW000,O64Si32,1.0,Primitive P1 all-silica zeolite from IZA.
GOO000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
PUN000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
ATO000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
STW000,O120Si60,1.0,Primitive P1 all-silica zeolite from IZA.
ATS000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
SZR000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
DDR000,O240Si120,1.0,Primitive P1 all-silica zeolite from IZA.
BOZ000,O92Si46,1.0,Primitive P1 all-silica zeolite from IZA.
MAR000,O144Si72,1.0,Primitive P1 all-silica zeolite from IZA.
SFW000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
APC000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
IWW000,O224Si112,1.0,Primitive P1 all-silica zeolite from IZA.
JSR000,O192Si96,1.0,Primitive P1 all-silica zeolite from IZA.
MAZ000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
LTF000,O216Si108,1.0,Primitive P1 all-silica zeolite from IZA.
YUG000,O16Si8,1.0,Primitive P1 all-silica zeolite from IZA.
AEL000,O40Si20,1.0,Primitive P1 all-silica zeolite from IZA.
IWS000,O136Si68,1.0,Primitive P1 all-silica zeolite from IZA.
JSN000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
ITW000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
TER000,O80Si40,1.0,Primitive P1 all-silica zeolite from IZA.
CZP000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
APD000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
GIU000,O192Si96,1.0,Primitive P1 all-silica zeolite from IZA.
IWR000,O56Si28,1.0,Primitive P1 all-silica zeolite from IZA.
MEL000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
EUO000,O112Si56,1.0,Primitive P1 all-silica zeolite from IZA.
NPT000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
NAB000,O10Si5,1.0,Primitive P1 all-silica zeolite from IZA.
JRY000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
MSO000,O60Si30,1.0,Primitive P1 all-silica zeolite from IZA.
MTN000,O68Si34,1.0,Primitive P1 all-silica zeolite from IZA.
ETL000,O72Si36,1.0,Primitive P1 all-silica zeolite from IZA.
